数据集,模型,acc,f1,bacc,多数类基线
电离层 34维·2类,SVM,0.9437,0.9393,0.9474,0.6479
电离层 34维·2类,决策树,0.9296,0.9235,0.9274,0.6479
电离层 34维·2类,随机森林,0.9577,0.9541,0.9583,0.6479
电离层 34维·2类,逻辑回归,0.8732,0.8598,0.8565,0.6479
白葡萄酒 11维·3类,SVM,0.6173,0.6219,0.66,0.449
白葡萄酒 11维·3类,决策树,0.65,0.6449,0.6436,0.449
白葡萄酒 11维·3类,随机森林,0.7347,0.7336,0.7235,0.449
白葡萄酒 11维·3类,逻辑回归,0.5224,0.5204,0.5671,0.449
贷款违约 12维·2类(大规模),SVM,0.6302,0.5698,0.6327,0.7993
贷款违约 12维·2类(大规模),决策树,0.5872,0.538,0.6108,0.7993
贷款违约 12维·2类(大规模),随机森林,0.793,0.5343,0.5405,0.7993
贷款违约 12维·2类(大规模),逻辑回归,0.6512,0.5843,0.6406,0.7993
干豆 16维·7类,SVM,0.9258,0.9375,0.9378,0.2604
干豆 16维·7类,决策树,0.8979,0.9104,0.9118,0.2604
干豆 16维·7类,随机森林,0.9214,0.9333,0.9316,0.2604
干豆 16维·7类,逻辑回归,0.9155,0.93,0.931,0.2604
臭氧 72维·2类(极不平衡),SVM,0.9488,0.5805,0.5858,0.9705
臭氧 72维·2类(极不平衡),决策树,0.935,0.5806,0.611,0.9705
臭氧 72维·2类(极不平衡),随机森林,0.9685,0.492,0.499,0.9705
臭氧 72维·2类(极不平衡),逻辑回归,0.8819,0.5516,0.6483,0.9705
