数据集,配置,模型,acc,f1,bacc
lendingclub,baseline,SVM,0.6302,0.5698,0.6327
lendingclub,baseline,决策树,0.5872,0.538,0.6108
lendingclub,baseline,随机森林,0.793,0.5343,0.5405
lendingclub,baseline,逻辑回归,0.6512,0.5843,0.6406
lendingclub,improved,SVM,0.6403,0.5779,0.6391
lendingclub,improved,决策树,0.6712,0.5406,0.5486
lendingclub,improved,随机森林,0.7927,0.5288,0.5372
lendingclub,improved,逻辑回归,0.6562,0.5902,0.6484
ozone,baseline,SVM,0.9488,0.5805,0.5858
ozone,baseline,决策树,0.935,0.5806,0.611
ozone,baseline,随机森林,0.9685,0.492,0.499
ozone,baseline,逻辑回归,0.8819,0.5516,0.6483
ozone,improved,SVM,0.9488,0.5535,0.5535
ozone,improved,决策树,0.9252,0.5281,0.5413
ozone,improved,随机森林,0.9567,0.4889,0.4929
ozone,improved,逻辑回归,0.8898,0.5587,0.6523
